Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.8646	0.8611	0.8750	0.8681	0.8750
2	0.7083	0.6701	0.6910	0.7292	0.7049
3	0.9236	0.9062	0.9306	0.9236	0.9340
4	0.8403	0.8438	0.8264	0.8403	0.8576
5	0.8090	0.7604	0.7847	0.7708	0.7708
6	0.7674	0.7292	0.7222	0.7083	0.7292
7	0.9618	0.9479	0.9236	0.9306	0.9306
8	0.8194	0.8715	0.8576	0.8715	0.8056
9	0.8889	0.8924	0.8681	0.8403	0.8958

Without Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6562	0.6979	0.6597	0.6944	0.6806
2	0.5208	0.4826	0.4583	0.4514	0.4792
3	0.6875	0.7500	0.7847	0.7431	0.7292
4	0.5035	0.5139	0.5729	0.4688	0.5312
5	0.5417	0.5660	0.7222	0.4896	0.5486
6	0.4549	0.4444	0.4514	0.4340	0.4236
7	0.6562	0.7326	0.7083	0.7361	0.6979
8	0.7326	0.6771	0.7396	0.6667	0.7083
9	0.5729	0.5868	0.5729	0.5417	0.5521

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.9028	0.8924	0.9028	0.8611	0.9062
2	0.6840	0.7569	0.7257	0.7361	0.7188
3	0.9340	0.9653	0.9375	0.9410	0.9549
4	0.7917	0.8264	0.8125	0.7951	0.8229
5	0.7535	0.7708	0.7535	0.7361	0.7535
6	0.6910	0.7465	0.7188	0.7431	0.7396
7	0.9514	0.9306	0.9410	0.9097	0.9236
8	0.8542	0.8715	0.8715	0.8750	0.8576
9	0.8924	0.8889	0.8958	0.8854	0.8785

With Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6910	0.7257	0.7049	0.6840	0.6944
2	0.4236	0.4896	0.4722	0.4826	0.4896
3	0.8299	0.7812	0.7743	0.7535	0.7431
4	0.5347	0.5208	0.5694	0.5069	0.5278
5	0.5035	0.3611	0.4861	0.6458	0.4757
6	0.3750	0.4444	0.3854	0.4271	0.3785
7	0.6944	0.6910	0.7014	0.7257	0.6285
8	0.7188	0.6840	0.7153	0.7153	0.7465
9	0.6076	0.5903	0.5694	0.6076	0.5694

