Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7937	0.7531	0.7594	0.7656	0.7656
2	0.7143	0.7143	0.6964	0.7107	0.6821
3	0.8562	0.8531	0.8562	0.8531	0.8531
4	0.9781	0.9625	0.9750	0.9781	0.9656
5	0.9031	0.9031	0.9219	0.8906	0.9031
6	0.8531	0.8281	0.8438	0.8562	0.8500
7	0.9156	0.9031	0.9156	0.9094	0.9062
8	0.9406	0.9344	0.9219	0.9250	0.9312
9	0.8906	0.8656	0.8906	0.8656	0.8594

Without Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7812	0.7688	0.8062	0.7844	0.7719
2	0.6893	0.6929	0.6679	0.6964	0.6679
3	0.6187	0.5875	0.6219	0.5906	0.6094
4	0.8813	0.8938	0.8687	0.8938	0.8938
5	0.9625	0.9688	0.9688	0.9656	0.9625
6	0.7750	0.7500	0.7656	0.8000	0.7812
7	0.8406	0.8313	0.8438	0.8344	0.8625
8	0.8406	0.8438	0.8469	0.8469	0.8313
9	0.8531	0.8313	0.8313	0.8594	0.8500

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7656	0.7781	0.7875	0.7437	0.7750
2	0.6929	0.6607	0.6643	0.6607	0.6500
3	0.8344	0.8469	0.8344	0.8562	0.8469
4	0.9844	0.9812	0.9812	0.9875	0.9812
5	0.9187	0.9125	0.9187	0.9000	0.9312
6	0.8313	0.8469	0.8469	0.8375	0.8344
7	0.9250	0.9344	0.9344	0.9281	0.9312
8	0.9375	0.9375	0.9281	0.9281	0.9344
9	0.8781	0.8656	0.8625	0.8719	0.8625

With Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7906	0.7844	0.7844	0.7875	0.8000
2	0.7143	0.7107	0.7179	0.7143	0.7107
3	0.6094	0.5969	0.6094	0.6000	0.6219
4	0.9031	0.9219	0.8969	0.9062	0.8906
5	0.9563	0.9594	0.9656	0.9563	0.9563
6	0.8031	0.8156	0.7906	0.7844	0.7937
7	0.8156	0.8219	0.8188	0.8000	0.8250
8	0.8406	0.8375	0.8469	0.8375	0.8344
9	0.8531	0.8344	0.8438	0.8656	0.8500

