Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.8299	0.8403	0.8194	0.8160	0.8264
2	0.5278	0.6215	0.6250	0.5347	0.5382
3	0.9062	0.8646	0.9062	0.8715	0.9236
4	0.7222	0.6875	0.7569	0.7083	0.7431
5	0.7778	0.7222	0.7569	0.7778	0.7778
6	0.6319	0.5625	0.6181	0.6111	0.6042
7	0.8750	0.9028	0.8507	0.8785	0.8750
8	0.7986	0.8646	0.8229	0.8333	0.8333
9	0.7604	0.7847	0.8160	0.8021	0.7951

Without Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6875	0.6562	0.6354	0.5833	0.6389
2	0.4479	0.4688	0.4583	0.4410	0.4792
3	0.7708	0.7917	0.7986	0.7882	0.8021
4	0.4757	0.5451	0.4792	0.5035	0.4931
5	0.4236	0.4236	0.4062	0.4514	0.4549
6	0.4028	0.4444	0.4375	0.4306	0.4201
7	0.6250	0.6250	0.6736	0.6667	0.6458
8	0.7222	0.7778	0.7882	0.7361	0.7604
9	0.5208	0.5243	0.5417	0.5556	0.6146

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.8854	0.8472	0.8472	0.8715	0.8403
2	0.5486	0.5799	0.6042	0.5139	0.5799
3	0.9097	0.9062	0.9236	0.9236	0.9306
4	0.7812	0.7465	0.7778	0.7292	0.7222
5	0.7708	0.7708	0.6944	0.7812	0.7917
6	0.6562	0.6285	0.6319	0.5938	0.6250
7	0.9132	0.9167	0.8889	0.9132	0.8715
8	0.8333	0.8611	0.8611	0.8542	0.8750
9	0.8194	0.8333	0.8507	0.8438	0.8125

With Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6667	0.6528	0.6250	0.6458	0.6076
2	0.4097	0.4514	0.4132	0.4306	0.4583
3	0.7465	0.7778	0.8229	0.8333	0.8021
4	0.5174	0.5521	0.5312	0.4444	0.4965
5	0.4306	0.4097	0.3854	0.4340	0.4410
6	0.3785	0.3750	0.3924	0.3889	0.3681
7	0.6840	0.6424	0.6319	0.6597	0.6458
8	0.6944	0.7812	0.7604	0.7535	0.7639
9	0.4722	0.5139	0.5174	0.5868	0.6042

