Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7125	0.7344	0.7000	0.6906	0.7281
2	0.6429	0.6286	0.6286	0.6500	0.6286
3	0.8313	0.8313	0.8281	0.8281	0.8250
4	0.9812	0.9625	0.9750	0.9750	0.9719
5	0.9375	0.9594	0.9500	0.9281	0.9375
6	0.8469	0.8562	0.8531	0.8313	0.8562
7	0.9062	0.9125	0.8875	0.8906	0.8906
8	0.9187	0.9062	0.9156	0.8969	0.9187
9	0.8625	0.8719	0.8438	0.8687	0.8281

Without Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6562	0.7312	0.6750	0.6969	0.7063
2	0.6107	0.6214	0.6607	0.6143	0.6571
3	0.6156	0.5938	0.5406	0.6094	0.6187
4	0.9219	0.9375	0.9125	0.9375	0.9281
5	0.9594	0.9406	0.9656	0.9656	0.9531
6	0.7875	0.7750	0.7625	0.7906	0.7906
7	0.8469	0.8469	0.8406	0.8344	0.8438
8	0.8313	0.8313	0.8281	0.8313	0.8375
9	0.8188	0.7969	0.8094	0.8062	0.8094

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7063	0.7063	0.7125	0.7312	0.7188
2	0.6607	0.6643	0.7036	0.6964	0.6571
3	0.8375	0.8313	0.8313	0.8156	0.8250
4	0.9781	0.9781	0.9875	0.9844	0.9844
5	0.9688	0.9719	0.9781	0.9563	0.9563
6	0.8813	0.8500	0.8562	0.8875	0.8562
7	0.9031	0.9156	0.9062	0.9125	0.9094
8	0.9344	0.9125	0.9375	0.9219	0.9312
9	0.8750	0.8938	0.8750	0.8781	0.8687

With Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6875	0.6938	0.6750	0.6875	0.7031
2	0.6464	0.6571	0.6464	0.6357	0.6464
3	0.5781	0.5875	0.5594	0.5469	0.6062
4	0.9094	0.9094	0.8906	0.9000	0.9000
5	0.9656	0.9531	0.9656	0.9719	0.9625
6	0.8188	0.8344	0.7906	0.8000	0.7969
7	0.8219	0.8188	0.8188	0.8250	0.8188
8	0.8375	0.8375	0.8375	0.8313	0.8406
9	0.8469	0.8188	0.8281	0.8281	0.8406

