Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.8472	0.8299	0.8333	0.8125	0.8576
2	0.6458	0.6076	0.6319	0.6493	0.6354
3	0.9201	0.8924	0.8924	0.9062	0.9062
4	0.7535	0.7743	0.7847	0.7639	0.7500
5	0.7917	0.7604	0.7708	0.7535	0.7778
6	0.6667	0.6285	0.6562	0.6007	0.6597
7	0.8472	0.8090	0.7743	0.7535	0.8611
8	0.8611	0.8368	0.8194	0.8194	0.8403
9	0.8542	0.8090	0.8264	0.8507	0.8125

Without Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6701	0.6250	0.6285	0.6667	0.6701
2	0.4340	0.4444	0.4722	0.4722	0.4375
3	0.7778	0.7361	0.7708	0.8056	0.7847
4	0.4965	0.5486	0.4896	0.5139	0.5035
5	0.5035	0.6632	0.5312	0.2847	0.6354
6	0.4479	0.4757	0.5069	0.4618	0.5035
7	0.6806	0.7361	0.7292	0.6632	0.7153
8	0.7083	0.6597	0.6875	0.7118	0.7153
9	0.5799	0.5764	0.5938	0.5174	0.6146

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.8819	0.8785	0.8542	0.8576	0.8681
2	0.6736	0.6771	0.6806	0.6840	0.6944
3	0.9340	0.9306	0.9097	0.9444	0.9271
4	0.8160	0.8299	0.8160	0.7882	0.7986
5	0.7674	0.8056	0.7778	0.7743	0.7743
6	0.7014	0.6597	0.6910	0.6979	0.6701
7	0.9028	0.9028	0.9028	0.9132	0.8819
8	0.8646	0.8611	0.8472	0.8785	0.8611
9	0.8472	0.8507	0.8576	0.8646	0.8611

With Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6771	0.6944	0.6875	0.6944	0.6979
2	0.4167	0.4479	0.4444	0.4444	0.4236
3	0.8438	0.7986	0.8264	0.8403	0.8403
4	0.5451	0.5139	0.5139	0.4896	0.5104
5	0.5208	0.3854	0.4201	0.5764	0.5243
6	0.3924	0.4444	0.4549	0.4410	0.4375
7	0.7118	0.7326	0.7083	0.7014	0.6910
8	0.7465	0.6979	0.7257	0.7326	0.7118
9	0.5486	0.6042	0.5590	0.6076	0.6146

