Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7937	0.7844	0.7844	0.7937	0.7875
2	0.7286	0.7143	0.7071	0.7143	0.7143
3	0.8406	0.8469	0.8469	0.8562	0.8469
4	0.9750	0.9781	0.9719	0.9688	0.9719
5	0.9187	0.9187	0.9312	0.9500	0.9344
6	0.8344	0.8250	0.8469	0.8406	0.8562
7	0.9000	0.9156	0.9062	0.9062	0.9125
8	0.9281	0.9312	0.9312	0.9312	0.9250
9	0.8594	0.8813	0.8875	0.8781	0.8875

Without Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7594	0.7312	0.7531	0.7969	0.7531
2	0.6643	0.6571	0.6464	0.6500	0.6786
3	0.6375	0.6687	0.6313	0.6406	0.6031
4	0.8969	0.8750	0.8594	0.8969	0.8813
5	0.9750	0.9625	0.9719	0.9719	0.9719
6	0.7531	0.7719	0.7563	0.7750	0.7531
7	0.8500	0.8125	0.8000	0.7812	0.8375
8	0.8469	0.8375	0.8313	0.8281	0.8438
9	0.8375	0.8062	0.8281	0.8344	0.8313

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7781	0.7844	0.7937	0.7844	0.7844
2	0.6964	0.6786	0.6714	0.6679	0.6821
3	0.8594	0.8687	0.8594	0.8406	0.8469
4	0.9812	0.9781	0.9781	0.9844	0.9812
5	0.9438	0.9312	0.9469	0.9438	0.9438
6	0.8281	0.8281	0.8625	0.8594	0.8656
7	0.9281	0.9375	0.9250	0.9344	0.9344
8	0.9312	0.9344	0.9312	0.9312	0.9344
9	0.8500	0.8625	0.8594	0.8719	0.8906

With Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7625	0.7937	0.8156	0.7688	0.7625
2	0.6821	0.6821	0.6679	0.6607	0.6714
3	0.6500	0.6187	0.6187	0.6594	0.6031
4	0.8938	0.8594	0.8531	0.8687	0.8625
5	0.9750	0.9656	0.9688	0.9656	0.9719
6	0.7969	0.8188	0.7750	0.8062	0.7875
7	0.8281	0.8469	0.8188	0.8031	0.8500
8	0.8469	0.8313	0.8375	0.8344	0.8406
9	0.8438	0.8281	0.8469	0.8531	0.8344

