Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2
1	0.8438	0.8250	0.8000
2	0.9187	0.9062	0.8813
3	0.9812	1.0000	1.0000
4	0.9937	0.9937	0.9812
5	1.0000	0.9438	1.0000
6	0.9375	0.9500	0.9312
7	0.8365	0.8868	0.8553
8	0.9375	0.9563	0.9438
9	0.9812	0.9937	0.9750
10	0.9312	0.9312	0.9250
11	0.9812	0.9438	0.9750
12	0.9812	0.9688	0.9937
13	0.9686	0.9434	0.9623
14	0.8562	0.8687	0.8000

Without Aug - LOSO
Subject	seed-0	seed-1	seed-2
1	0.8875	0.8813	0.8625
2	0.6938	0.6687	0.7000
3	0.5125	0.4812	0.5063
4	0.8125	0.8375	0.9375
5	0.7812	0.8375	0.8313
6	0.5625	0.6250	0.5063
7	0.6226	0.7170	0.6792
8	0.5562	0.6375	0.5813
9	0.4875	0.4812	0.5063
10	0.5312	0.5688	0.6687
11	0.6000	0.6438	0.7000
12	0.7250	0.7437	0.7750
13	0.5031	0.3208	0.4277
14	0.5875	0.6625	0.5938

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2
1	0.8250	0.8062	0.8813
2	0.9062	0.9438	0.9125
3	0.9875	0.9937	0.9875
4	0.9875	0.9875	0.9937
5	1.0000	1.0000	1.0000
6	0.9375	0.9563	0.9563
7	0.9057	0.8805	0.8616
8	0.9563	0.9812	0.9750
9	0.9875	0.9937	0.9875
10	0.9500	0.9438	0.9438
11	0.9750	0.9438	0.9750
12	0.9875	0.9875	0.9875
13	0.9497	0.9560	0.9623
14	0.7500	0.8625	0.8000

With Aug - LOSO
Subject	seed-0	seed-1	seed-2
1	0.8813	0.8687	0.8562
2	0.6875	0.6687	0.6625
3	0.4812	0.6562	0.5000
4	0.9312	0.9375	0.9688
5	0.8438	0.8062	0.7000
6	0.5437	0.5063	0.5938
7	0.7547	0.6164	0.7736
8	0.6313	0.5063	0.6062
9	0.3938	0.3750	0.4187
10	0.6125	0.7188	0.7125
11	0.6375	0.5125	0.6375
12	0.7500	0.8625	0.7937
13	0.4088	0.2830	0.3208
14	0.5750	0.5813	0.5562

