Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.8403	0.8403	0.8299	0.8472	0.8194
2	0.5174	0.4965	0.5208	0.5451	0.4931
3	0.8681	0.8681	0.8681	0.8681	0.8403
4	0.7604	0.7292	0.7188	0.7500	0.7153
5	0.4861	0.5660	0.4549	0.4965	0.2812
6	0.5625	0.5799	0.5972	0.5417	0.5903
7	0.8542	0.8681	0.8993	0.8507	0.8299
8	0.7118	0.7882	0.7674	0.7951	0.7500
9	0.7604	0.7535	0.7708	0.7431	0.7778

Without Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6736	0.6667	0.6667	0.6597	0.6389
2	0.2639	0.3090	0.2882	0.2674	0.2917
3	0.5799	0.7014	0.5625	0.6979	0.6285
4	0.3438	0.3611	0.3472	0.3438	0.3299
5	0.2604	0.2743	0.2778	0.2604	0.2674
6	0.2882	0.2778	0.3264	0.2743	0.2743
7	0.3472	0.3507	0.3681	0.2951	0.3472
8	0.6528	0.6493	0.6944	0.6250	0.6458
9	0.6389	0.5833	0.6562	0.6146	0.5764

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.8507	0.8750	0.8299	0.8507	0.8472
2	0.5833	0.5451	0.5521	0.5451	0.5278
3	0.8750	0.8785	0.8993	0.8993	0.8542
4	0.7917	0.7465	0.7153	0.7986	0.7465
5	0.5764	0.6042	0.6146	0.5903	0.6111
6	0.5972	0.5868	0.6146	0.6042	0.6285
7	0.8819	0.9236	0.9167	0.9097	0.8924
8	0.7951	0.8125	0.8125	0.8229	0.7986
9	0.8264	0.8264	0.8194	0.8333	0.8160

With Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6458	0.6424	0.6632	0.6493	0.6493
2	0.3021	0.2847	0.2847	0.2778	0.2951
3	0.7639	0.7257	0.7674	0.7292	0.6701
4	0.3403	0.3819	0.3472	0.3264	0.3264
5	0.2604	0.2535	0.2569	0.2569	0.2674
6	0.2465	0.2361	0.2604	0.2361	0.2257
7	0.3542	0.3472	0.2604	0.2639	0.3681
8	0.6562	0.6528	0.6979	0.6840	0.6319
9	0.5694	0.5868	0.6389	0.6076	0.6215

