Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7219	0.7156	0.7344	0.7219	0.7312
2	0.5214	0.5357	0.5750	0.6321	0.5179
3	0.6000	0.5781	0.6031	0.5688	0.5813
4	0.9656	0.9688	0.9688	0.9750	0.9750
5	0.8938	0.8938	0.8687	0.8875	0.9219
6	0.8375	0.8031	0.8281	0.8344	0.8094
7	0.8062	0.8375	0.8594	0.8219	0.8219
8	0.9125	0.9000	0.9219	0.9250	0.9000
9	0.8281	0.8313	0.8406	0.8531	0.8406

Without Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7156	0.6938	0.7188	0.7375	0.6938
2	0.5750	0.5786	0.6036	0.6107	0.5750
3	0.5063	0.5531	0.5156	0.5500	0.5375
4	0.9219	0.8844	0.9500	0.9375	0.9187
5	0.7312	0.7875	0.7531	0.7312	0.7844
6	0.7312	0.7219	0.6313	0.7531	0.7969
7	0.7281	0.7375	0.7312	0.7406	0.7469
8	0.7812	0.7844	0.7969	0.7937	0.7969
9	0.8469	0.8687	0.8687	0.8687	0.8906

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7594	0.7531	0.7625	0.7312	0.7312
2	0.5607	0.6321	0.6036	0.6500	0.5750
3	0.6562	0.5906	0.5938	0.6094	0.6500
4	0.9656	0.9750	0.9719	0.9750	0.9781
5	0.9094	0.9062	0.8875	0.9062	0.9062
6	0.8313	0.8562	0.8531	0.8687	0.8562
7	0.8281	0.8500	0.8562	0.8438	0.8375
8	0.9406	0.9344	0.9469	0.9281	0.9344
9	0.8625	0.9000	0.8938	0.9062	0.8844

With Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7375	0.7031	0.7688	0.7281	0.7437
2	0.5679	0.5857	0.5893	0.5857	0.5857
3	0.5156	0.5531	0.5281	0.5188	0.5375
4	0.9375	0.9187	0.9156	0.9187	0.9062
5	0.7250	0.7563	0.7469	0.7312	0.7500
6	0.8844	0.7906	0.8250	0.8844	0.8813
7	0.7281	0.7188	0.7031	0.7156	0.7312
8	0.8094	0.8250	0.8125	0.8094	0.8156
9	0.8938	0.8844	0.8625	0.8750	0.8562

