Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6771	0.7639	0.7917	0.7847	0.7708
2	0.6250	0.5660	0.5868	0.5486	0.5694
3	0.8333	0.8507	0.8507	0.8576	0.8472
4	0.5764	0.6181	0.6181	0.5729	0.6215
5	0.6736	0.6979	0.6667	0.6354	0.6875
6	0.5521	0.5035	0.5590	0.5903	0.5417
7	0.8125	0.8646	0.8403	0.8438	0.7188
8	0.7674	0.6944	0.7118	0.7535	0.7188
9	0.7917	0.8090	0.7188	0.7917	0.7986

Without Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.5729	0.5590	0.5521	0.5694	0.6215
2	0.4444	0.4618	0.4062	0.4236	0.3507
3	0.7014	0.6840	0.6944	0.6910	0.7153
4	0.4444	0.4340	0.4271	0.4549	0.4896
5	0.3889	0.4722	0.3819	0.4514	0.3750
6	0.4306	0.3993	0.4201	0.4514	0.4444
7	0.7014	0.6354	0.6215	0.6597	0.6181
8	0.6285	0.6076	0.6076	0.6111	0.6076
9	0.4271	0.4757	0.3785	0.4444	0.4688

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7465	0.7778	0.7500	0.8090	0.7882
2	0.5660	0.6528	0.6076	0.5451	0.5521
3	0.8681	0.8507	0.8819	0.8924	0.8819
4	0.6806	0.6458	0.6146	0.6632	0.6458
5	0.6215	0.6528	0.6250	0.6111	0.6285
6	0.6042	0.5451	0.5660	0.6111	0.5799
7	0.8472	0.8264	0.8715	0.8542	0.8715
8	0.7743	0.8021	0.7812	0.8021	0.7431
9	0.8333	0.7986	0.7951	0.7812	0.8333

With Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6076	0.5938	0.5868	0.6076	0.6111
2	0.4549	0.4375	0.4479	0.4514	0.4201
3	0.7465	0.7257	0.7465	0.7535	0.7326
4	0.4479	0.3507	0.3993	0.4340	0.4444
5	0.4062	0.4375	0.3507	0.3889	0.4062
6	0.3993	0.4306	0.4340	0.3993	0.4097
7	0.6528	0.5382	0.6076	0.6389	0.6146
8	0.6181	0.5799	0.6424	0.6146	0.6250
9	0.4201	0.4722	0.4201	0.4444	0.4618

