Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7188	0.7063	0.7406	0.7156	0.7156
2	0.6036	0.6214	0.6000	0.6107	0.6143
3	0.8281	0.8281	0.8375	0.8344	0.8313
4	0.9594	0.9500	0.9688	0.9469	0.9563
5	0.9000	0.9031	0.8188	0.8969	0.8813
6	0.8031	0.8062	0.8125	0.8438	0.8344
7	0.9187	0.8969	0.9094	0.9187	0.9031
8	0.9000	0.9000	0.9031	0.8875	0.9125
9	0.8156	0.8250	0.8344	0.8375	0.8125

Without Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6812	0.6969	0.7188	0.7063	0.7219
2	0.6071	0.5821	0.5857	0.5821	0.6214
3	0.6625	0.6719	0.6687	0.6531	0.6094
4	0.8562	0.8656	0.8625	0.8406	0.9031
5	0.9563	0.9469	0.9438	0.9469	0.9469
6	0.7906	0.7937	0.7812	0.7500	0.8094
7	0.8813	0.8344	0.8656	0.7812	0.8625
8	0.8375	0.8375	0.8438	0.8531	0.8531
9	0.7469	0.7625	0.7531	0.7125	0.7625

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7094	0.7219	0.7563	0.6875	0.7469
2	0.6179	0.6071	0.5964	0.6179	0.5857
3	0.8469	0.8281	0.8375	0.8562	0.8687
4	0.9656	0.9688	0.9656	0.9469	0.9688
5	0.9094	0.8969	0.9219	0.8938	0.9187
6	0.8219	0.8000	0.8281	0.8188	0.8219
7	0.9187	0.8875	0.8938	0.9031	0.9094
8	0.9156	0.9187	0.9312	0.9281	0.9187
9	0.8219	0.8562	0.8344	0.8375	0.8344

With Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7125	0.7219	0.7063	0.7188	0.7375
2	0.6214	0.5571	0.6143	0.6179	0.6143
3	0.6719	0.6531	0.6719	0.6531	0.6281
4	0.8594	0.8625	0.8562	0.8531	0.9062
5	0.9281	0.9312	0.9344	0.9281	0.9219
6	0.7719	0.8375	0.8125	0.7625	0.8313
7	0.8219	0.7469	0.8000	0.8219	0.8156
8	0.8469	0.8375	0.8531	0.8469	0.8500
9	0.7906	0.7969	0.8062	0.7375	0.7812

