Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7882	0.8229	0.7743	0.7708	0.8160
2	0.5556	0.6250	0.5764	0.5660	0.6493
3	0.8993	0.9167	0.9201	0.9097	0.9236
4	0.7500	0.6389	0.6701	0.6910	0.7188
5	0.7326	0.6597	0.7083	0.7083	0.7500
6	0.7083	0.6319	0.5938	0.6354	0.6562
7	0.8229	0.8889	0.8542	0.8750	0.8472
8	0.8229	0.7986	0.8299	0.7639	0.7812
9	0.7778	0.8090	0.7847	0.8090	0.7951

Without Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.5312	0.6146	0.4653	0.5347	0.5903
2	0.4097	0.4618	0.3993	0.4167	0.3403
3	0.8194	0.6458	0.7604	0.7257	0.7257
4	0.4965	0.5278	0.5069	0.5382	0.4722
5	0.4931	0.4167	0.5799	0.6389	0.4792
6	0.4375	0.4444	0.5104	0.4132	0.3993
7	0.6806	0.6111	0.5868	0.7222	0.6458
8	0.6632	0.6389	0.5174	0.6181	0.6493
9	0.5035	0.5451	0.5729	0.4861	0.5521

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.8229	0.8507	0.8576	0.8368	0.8403
2	0.6944	0.6215	0.6146	0.6007	0.7014
3	0.9167	0.9306	0.9236	0.9514	0.9479
4	0.7361	0.7083	0.7674	0.7569	0.7465
5	0.7465	0.7118	0.7465	0.7292	0.7257
6	0.7014	0.6493	0.6215	0.6215	0.6979
7	0.8715	0.8993	0.9028	0.8889	0.8681
8	0.8542	0.8611	0.8125	0.8368	0.8125
9	0.8125	0.8368	0.7951	0.8299	0.8090

With Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.5833	0.5868	0.5243	0.6389	0.6215
2	0.4340	0.4236	0.3854	0.4375	0.4722
3	0.8021	0.7847	0.7917	0.7188	0.7674
4	0.5556	0.5660	0.5694	0.5417	0.5243
5	0.4201	0.3542	0.4688	0.5521	0.5556
6	0.4132	0.3993	0.4271	0.3924	0.3993
7	0.6771	0.6806	0.6736	0.6771	0.6528
8	0.6076	0.7153	0.6285	0.6354	0.6562
9	0.5174	0.5035	0.4826	0.4722	0.5035

