Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7781	0.7500	0.7406	0.7344	0.7375
2	0.6893	0.6893	0.7071	0.6964	0.7036
3	0.8313	0.8438	0.8188	0.8375	0.8469
4	0.9719	0.9719	0.9719	0.9750	0.9781
5	0.9594	0.9250	0.9156	0.9312	0.9438
6	0.8375	0.8500	0.8313	0.7437	0.8562
7	0.8969	0.9250	0.8969	0.9187	0.9156
8	0.9219	0.9375	0.9281	0.9344	0.9219
9	0.8625	0.8438	0.8375	0.8313	0.8531

Without Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7625	0.7594	0.7312	0.7437	0.7594
2	0.6679	0.6536	0.6750	0.6857	0.6071
3	0.6469	0.5813	0.6062	0.5813	0.6594
4	0.8719	0.9187	0.8594	0.8969	0.8875
5	0.9844	0.9844	0.9594	0.9656	0.9750
6	0.7500	0.7312	0.7531	0.7500	0.7156
7	0.8281	0.8281	0.8562	0.8562	0.7875
8	0.8344	0.8313	0.8375	0.8469	0.8562
9	0.8000	0.7969	0.7688	0.8094	0.8062

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7812	0.7875	0.7781	0.7937	0.7531
2	0.6821	0.6679	0.6821	0.6714	0.6786
3	0.8500	0.8375	0.8375	0.8531	0.8500
4	0.9812	0.9750	0.9844	0.9688	0.9719
5	0.9438	0.9469	0.9531	0.9469	0.9406
6	0.8281	0.8375	0.8375	0.8687	0.8531
7	0.9281	0.9312	0.9219	0.9312	0.9469
8	0.9250	0.9406	0.9406	0.9438	0.9250
9	0.8844	0.8969	0.8656	0.8344	0.8750

With Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7844	0.7969	0.7812	0.7656	0.7906
2	0.6536	0.6964	0.7036	0.7036	0.6679
3	0.6313	0.6031	0.6969	0.6031	0.6406
4	0.9031	0.8969	0.8594	0.8906	0.8625
5	0.9812	0.9781	0.9750	0.9750	0.9719
6	0.7937	0.7312	0.7750	0.7937	0.8062
7	0.8313	0.8625	0.8344	0.8687	0.8469
8	0.8344	0.8281	0.8406	0.8156	0.8500
9	0.8375	0.8313	0.8031	0.8281	0.8281

