Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7917	0.7535	0.8021	0.7500	0.7986
2	0.5556	0.5451	0.5972	0.5729	0.6007
3	0.9028	0.9132	0.9201	0.9132	0.9028
4	0.7014	0.7639	0.7743	0.7986	0.7361
5	0.7431	0.7569	0.5903	0.6076	0.6562
6	0.5938	0.6354	0.6007	0.6181	0.6667
7	0.8160	0.8299	0.8611	0.8264	0.7535
8	0.8194	0.8090	0.8229	0.8333	0.8368
9	0.8021	0.8194	0.8264	0.8264	0.8160

Without Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6493	0.5625	0.6806	0.5833	0.6250
2	0.4062	0.3472	0.3819	0.3681	0.4444
3	0.7083	0.7326	0.7674	0.7708	0.7431
4	0.4340	0.4306	0.4444	0.4062	0.4271
5	0.5139	0.2743	0.6042	0.3646	0.3750
6	0.4167	0.3507	0.3611	0.3611	0.4097
7	0.5243	0.5451	0.5312	0.3750	0.5278
8	0.7188	0.6319	0.6632	0.6597	0.6771
9	0.5347	0.5208	0.5000	0.5521	0.5139

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.8438	0.8681	0.8681	0.8090	0.8542
2	0.5972	0.6285	0.6285	0.6250	0.6354
3	0.9688	0.9201	0.9514	0.9306	0.9444
4	0.7882	0.8056	0.8438	0.8438	0.8090
5	0.7708	0.7674	0.6562	0.5625	0.3681
6	0.6979	0.6944	0.7083	0.6840	0.7153
7	0.8889	0.8785	0.9028	0.8819	0.8542
8	0.8507	0.8472	0.8576	0.8611	0.8681
9	0.8611	0.8090	0.8542	0.8229	0.7951

With Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6771	0.7083	0.7153	0.6493	0.7014
2	0.4271	0.4479	0.3750	0.3785	0.4097
3	0.8368	0.8056	0.8368	0.8229	0.8299
4	0.4896	0.4375	0.4410	0.4688	0.4410
5	0.4340	0.3056	0.3264	0.2569	0.2604
6	0.4097	0.3507	0.3368	0.3958	0.3958
7	0.6215	0.5833	0.5972	0.5660	0.6493
8	0.6840	0.7118	0.7361	0.7361	0.7153
9	0.5382	0.4653	0.4965	0.4896	0.4618

