Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7531	0.7750	0.7437	0.7906	0.7844
2	0.7286	0.7107	0.7179	0.7071	0.7107
3	0.7937	0.8031	0.7969	0.7750	0.8062
4	0.9469	0.9625	0.9656	0.9312	0.9531
5	0.9719	0.9719	0.9812	0.9750	0.9594
6	0.8438	0.8750	0.8531	0.8781	0.8531
7	0.8844	0.8719	0.8781	0.8656	0.8875
8	0.9312	0.9062	0.9094	0.9156	0.9156
9	0.8469	0.8562	0.8344	0.8500	0.8344

Without Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7937	0.7688	0.7781	0.7750	0.7688
2	0.6607	0.6536	0.6786	0.6464	0.6107
3	0.5750	0.5750	0.5656	0.5844	0.5813
4	0.8219	0.8000	0.8375	0.8188	0.8469
5	0.9688	0.9750	0.9781	0.9563	0.9750
6	0.8344	0.7625	0.7969	0.7188	0.7625
7	0.8813	0.8750	0.8781	0.8531	0.8844
8	0.8188	0.8406	0.8281	0.8313	0.8406
9	0.8219	0.8094	0.8219	0.8281	0.8125

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7937	0.7719	0.8062	0.7969	0.8031
2	0.6857	0.7071	0.7143	0.7071	0.7143
3	0.8125	0.8156	0.8281	0.8062	0.8531
4	0.9750	0.9781	0.9781	0.9688	0.9719
5	0.9719	0.9688	0.9719	0.9656	0.9781
6	0.8719	0.8719	0.8656	0.8656	0.8687
7	0.9219	0.9281	0.9312	0.9406	0.9312
8	0.9344	0.9250	0.9406	0.9281	0.9312
9	0.8875	0.8906	0.8813	0.8844	0.8750

With Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7656	0.7812	0.7812	0.7750	0.7344
2	0.6536	0.7036	0.6679	0.6750	0.6464
3	0.5156	0.6062	0.5875	0.5875	0.5625
4	0.8781	0.8313	0.8438	0.8594	0.8656
5	0.9719	0.9719	0.9812	0.9781	0.9688
6	0.7969	0.7688	0.8250	0.8031	0.8313
7	0.7625	0.7906	0.8562	0.8656	0.8219
8	0.8375	0.8562	0.8500	0.8313	0.8250
9	0.8344	0.8188	0.8281	0.8250	0.8188

