Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2
1	0.9125	0.8687	0.9000
2	0.8625	0.8875	0.8313
3	0.9875	0.9937	0.9875
4	0.9875	0.9812	0.9812
5	1.0000	1.0000	1.0000
6	0.9625	0.9563	0.9625
7	0.8994	0.9057	0.9308
8	0.7188	0.7625	0.7000
9	0.9750	0.9688	0.9750
10	0.9375	0.9438	0.9187
11	0.9625	0.9563	0.9750
12	0.9438	0.9625	0.9688
13	0.9119	0.9434	0.9560
14	0.7812	0.6187	0.6812

Without Aug - LOSO
Subject	seed-0	seed-1	seed-2
1	0.8562	0.8687	0.7625
2	0.6000	0.6000	0.6000
3	0.5938	0.5562	0.4812
4	0.8687	0.8188	0.7875
5	0.8250	0.7312	0.7625
6	0.5437	0.5500	0.5250
7	0.6981	0.7296	0.7484
8	0.6438	0.5688	0.5437
9	0.5688	0.5562	0.6000
10	0.5750	0.6562	0.5500
11	0.3750	0.3875	0.2688
12	0.6438	0.7063	0.6812
13	0.3899	0.3962	0.4025
14	0.5375	0.5562	0.5312

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2
1	0.9563	0.9312	0.9500
2	0.8687	0.8875	0.8562
3	0.9875	1.0000	1.0000
4	0.9875	0.9937	0.9875
5	1.0000	1.0000	1.0000
6	0.9750	0.9625	0.9688
7	0.8994	0.8868	0.8742
8	0.9625	0.9937	0.9438
9	0.9812	0.9937	0.9937
10	0.9563	0.9563	0.9500
11	0.9812	0.9688	0.9750
12	0.9812	0.9750	0.9812
13	0.9560	0.9623	0.9623
14	0.7312	0.6812	0.7500

With Aug - LOSO
Subject	seed-0	seed-1	seed-2
1	0.7937	0.7875	0.7812
2	0.5688	0.6125	0.6250
3	0.5188	0.5312	0.5312
4	0.8000	0.8313	0.8438
5	0.7063	0.6938	0.7812
6	0.5188	0.5813	0.5000
7	0.7233	0.7421	0.7107
8	0.5312	0.5375	0.5063
9	0.5562	0.5375	0.6062
10	0.6125	0.6313	0.5437
11	0.4000	0.6750	0.4437
12	0.6875	0.7312	0.6812
13	0.3522	0.3711	0.3899
14	0.5625	0.6062	0.5562

