Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6806	0.6736	0.5764	0.7326	0.6910
2	0.4757	0.4757	0.4688	0.4896	0.3958
3	0.8021	0.8056	0.7743	0.7951	0.7986
4	0.5729	0.5104	0.4583	0.5486	0.5382
5	0.4722	0.4479	0.4861	0.4306	0.5000
6	0.4722	0.4722	0.4375	0.4722	0.4514
7	0.7014	0.6493	0.7292	0.7257	0.3924
8	0.7778	0.7535	0.7083	0.7604	0.7222
9	0.6840	0.6528	0.7014	0.6736	0.6875

Without Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.5139	0.5694	0.5208	0.5694	0.5486
2	0.3299	0.3889	0.3472	0.3403	0.3611
3	0.6285	0.6528	0.7153	0.6042	0.6632
4	0.4167	0.4444	0.4444	0.4340	0.3333
5	0.3542	0.3715	0.3438	0.3368	0.3889
6	0.4132	0.3611	0.4062	0.3958	0.4097
7	0.5104	0.4583	0.5069	0.5208	0.4826
8	0.6493	0.6806	0.6840	0.5764	0.6319
9	0.5243	0.4826	0.5729	0.5417	0.5417

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7639	0.6632	0.7674	0.7569	0.7049
2	0.5069	0.4306	0.4514	0.4549	0.4514
3	0.8611	0.8750	0.8056	0.7604	0.8333
4	0.5972	0.6007	0.5799	0.5903	0.6632
5	0.5208	0.5382	0.5451	0.5312	0.5104
6	0.4583	0.5104	0.4861	0.5174	0.4861
7	0.8125	0.7083	0.7951	0.7986	0.8160
8	0.7882	0.7569	0.7743	0.6424	0.7917
9	0.7014	0.7535	0.7812	0.6910	0.7396

With Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6007	0.5833	0.5660	0.5208	0.6076
2	0.3472	0.3542	0.3194	0.3160	0.3333
3	0.6806	0.5347	0.7118	0.5868	0.6562
4	0.3576	0.3785	0.3750	0.4062	0.3194
5	0.2847	0.2778	0.2986	0.2708	0.3333
6	0.3576	0.3646	0.3993	0.3507	0.3438
7	0.4931	0.4340	0.4375	0.4514	0.4479
8	0.6840	0.7188	0.6632	0.6528	0.6840
9	0.5556	0.5590	0.5451	0.5660	0.5590

