Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7094	0.7156	0.7344	0.7031	0.6969
2	0.6071	0.5821	0.5893	0.6107	0.5964
3	0.7219	0.7344	0.7312	0.7094	0.7219
4	0.9594	0.9312	0.9594	0.9563	0.9563
5	0.8656	0.9125	0.8875	0.8562	0.9000
6	0.7750	0.7188	0.7937	0.7563	0.7719
7	0.7906	0.7937	0.8094	0.8281	0.8000
8	0.8687	0.8531	0.8719	0.8719	0.8750
9	0.8188	0.8031	0.8281	0.7937	0.8344

Without Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6406	0.6625	0.6812	0.6625	0.6750
2	0.5786	0.5964	0.5429	0.5464	0.5429
3	0.5906	0.5406	0.6062	0.5500	0.5781
4	0.9094	0.9344	0.9187	0.8938	0.9250
5	0.8938	0.8469	0.8906	0.8969	0.8750
6	0.7469	0.7312	0.7281	0.6438	0.7094
7	0.7375	0.7531	0.7688	0.7437	0.7375
8	0.8094	0.8031	0.8406	0.8125	0.8062
9	0.7844	0.8531	0.8500	0.8469	0.8406

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7219	0.7156	0.7094	0.7344	0.6750
2	0.5893	0.6000	0.6000	0.6107	0.6214
3	0.7719	0.7875	0.7594	0.7344	0.7375
4	0.9594	0.9625	0.9594	0.9563	0.9594
5	0.8781	0.9406	0.9000	0.8844	0.8875
6	0.7937	0.7875	0.7219	0.8000	0.8344
7	0.8313	0.8625	0.8656	0.8719	0.8625
8	0.9031	0.9062	0.9094	0.8969	0.9062
9	0.8625	0.8406	0.8594	0.8281	0.8531

With Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6656	0.6812	0.7625	0.6875	0.6812
2	0.5429	0.5786	0.5321	0.5321	0.5464
3	0.5750	0.5813	0.6062	0.5531	0.5906
4	0.8969	0.9344	0.9187	0.9062	0.9312
5	0.8813	0.8406	0.8969	0.9031	0.8406
6	0.7781	0.7750	0.7188	0.7688	0.7531
7	0.7063	0.7750	0.7906	0.7969	0.7188
8	0.8156	0.8188	0.8375	0.8156	0.8344
9	0.8406	0.8500	0.8594	0.8656	0.8250

