Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2
1	0.8062	0.7812	0.7500
2	0.8188	0.8250	0.8438
3	0.9375	0.9312	0.9062
4	0.9812	0.9750	0.9750
5	0.9875	0.9937	0.9875
6	0.9062	0.9062	0.9000
7	0.8365	0.7862	0.7736
8	0.9125	0.9312	0.9312
9	0.9812	0.9812	0.9812
10	0.8875	0.8687	0.9187
11	0.9375	0.9625	0.9563
12	0.9563	0.9312	0.9375
13	0.8679	0.8365	0.8742
14	0.8313	0.7875	0.8125


With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2
1	0.8250	0.8375	0.8500
2	0.8375	0.8188	0.8500
3	0.9625	0.9688	0.9625
4	0.9937	0.9937	0.9937
5	0.9937	1.0000	0.9875
6	0.9375	0.9375	0.9312
7	0.7547	0.8428	0.8365
8	0.9000	0.9375	0.9250
9	0.9563	0.9750	0.9812
10	0.9125	0.9062	0.9375
11	0.9438	0.9750	0.9812
12	0.9750	0.9500	0.9312
13	0.9308	0.8994	0.9434
14	0.6812	0.8375	0.8500



