Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.9167	0.8715	0.8993	0.8924	0.8785
2	0.6667	0.6979	0.6944	0.7049	0.6944
3	0.9236	0.8924	0.9340	0.9306	0.9410
4	0.8299	0.8438	0.8368	0.8611	0.8229
5	0.7604	0.7604	0.7743	0.7326	0.7569
6	0.7118	0.6979	0.7083	0.7465	0.6875
7	0.9479	0.9340	0.9514	0.9340	0.9028
8	0.8611	0.8542	0.8368	0.8889	0.8785
9	0.8924	0.8750	0.8681	0.8264	0.8542

Without Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6458	0.6840	0.6771	0.6389	0.6424
2	0.4688	0.4688	0.4826	0.5139	0.4931
3	0.8403	0.7778	0.8021	0.8056	0.8160
4	0.5486	0.5000	0.4965	0.5243	0.5417
5	0.6979	0.7153	0.6389	0.4410	0.6979
6	0.4375	0.4236	0.4514	0.4653	0.4340
7	0.7326	0.7257	0.7222	0.7049	0.7569
8	0.7222	0.7326	0.7014	0.7118	0.7292
9	0.6146	0.6007	0.5972	0.6250	0.6493

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.8958	0.8993	0.8924	0.8854	0.8889
2	0.7535	0.7674	0.7465	0.7639	0.7569
3	0.9479	0.9201	0.9583	0.9514	0.9618
4	0.8542	0.8646	0.8472	0.8611	0.8333
5	0.7465	0.7465	0.7604	0.7569	0.7153
6	0.7292	0.7361	0.7500	0.7465	0.7049
7	0.9340	0.9340	0.9653	0.9132	0.9410
8	0.8854	0.8993	0.8750	0.8681	0.8889
9	0.8854	0.8785	0.8750	0.8958	0.8750

With Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.6944	0.7292	0.7014	0.7049	0.6806
2	0.4896	0.4896	0.4965	0.4236	0.4549
3	0.8750	0.8750	0.8611	0.8438	0.8507
4	0.5417	0.5382	0.5486	0.5972	0.5729
5	0.6042	0.5486	0.6215	0.6667	0.5903
6	0.3958	0.3854	0.3993	0.4201	0.3958
7	0.7118	0.7604	0.7396	0.6771	0.7431
8	0.7500	0.7118	0.6875	0.7396	0.7118
9	0.6146	0.5938	0.6389	0.6701	0.6042

