Without Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7844	0.7844	0.7625	0.7937	0.7656
2	0.6893	0.7071	0.6893	0.7000	0.7250
3	0.8406	0.8531	0.8125	0.8469	0.8250
4	0.9750	0.9750	0.9688	0.9688	0.9781
5	0.9750	0.9875	0.9844	0.9844	0.9719
6	0.8625	0.8625	0.8625	0.8594	0.8500
7	0.9219	0.9062	0.9125	0.9062	0.9125
8	0.9438	0.9438	0.9563	0.9406	0.9375
9	0.8562	0.8500	0.8375	0.8813	0.8500

Without Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7656	0.7531	0.7500	0.7281	0.7406
2	0.6893	0.6750	0.7000	0.7143	0.6429
3	0.5875	0.6062	0.6219	0.6438	0.6313
4	0.8969	0.9031	0.8969	0.8875	0.9094
5	0.9750	0.9656	0.9625	0.9781	0.9594
6	0.7437	0.7531	0.7656	0.7844	0.7563
7	0.8250	0.8188	0.8344	0.8469	0.8562
8	0.8406	0.8156	0.8344	0.8562	0.8406
9	0.8344	0.8281	0.8188	0.8094	0.8313

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7750	0.7656	0.8156	0.7906	0.7906
2	0.6929	0.7036	0.6964	0.6929	0.6893
3	0.8562	0.8562	0.8219	0.8562	0.8375
4	0.9875	0.9875	0.9844	0.9812	0.9844
5	0.9688	0.9875	0.9656	0.9750	0.9875
6	0.8531	0.8562	0.8438	0.8594	0.8375
7	0.9344	0.9406	0.9344	0.9250	0.9281
8	0.9500	0.9438	0.9438	0.9563	0.9500
9	0.8687	0.8781	0.8719	0.8781	0.8656

With Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7781	0.7844	0.7688	0.7937	0.7688
2	0.7071	0.7036	0.7143	0.7250	0.7179
3	0.6094	0.6469	0.6500	0.6406	0.6250
4	0.9031	0.8844	0.8875	0.8875	0.9031
5	0.9719	0.9688	0.9719	0.9719	0.9750
6	0.8125	0.8156	0.8031	0.7750	0.7719
7	0.8469	0.8562	0.8313	0.8406	0.8438
8	0.8344	0.8375	0.8406	0.8469	0.8469
9	0.8500	0.8562	0.8375	0.8500	0.8469

